subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p,group
LV001,raw,Averaging,mll,1109.442236147373,2238.9977153596383,0.380342689716418,1.0,0.9991118636852242,0.4,1.2648917885589357,0.1214146185668667,Low Vision
LV002,raw,Averaging,mll,761.2299427635511,1542.5731285919944,0.8218544598344627,1.0,0.9661421066077024,0.4,1.6196290458212033,0.101804483097696,Low Vision
LV003,raw,Averaging,mll,655.7181674687629,1331.549578002418,0.9208673461228424,1.0,0.9821724188752136,0.4,2.728324402369289,0.4691522046049891,Low Vision
LV005,raw,Averaging,mll,783.2071342161973,1586.527511497287,0.840092106535859,1.0,0.9916854410874024,0.4,1.439147479815981,0.1155874426873136,Low Vision
LV007,raw,Averaging,mll,527.1960762574564,1074.505395579805,0.9226064269381008,1.0,0.6988576203807426,0.4,1.152939346791951,1.5818513903781346,Low Vision
LV008,raw,Averaging,mll,1103.9235489974749,2227.960341059842,0.4142775158627182,1.0,0.999815415211874,0.4,0.7047800357599022,0.101281771807509,Low Vision
LV009,raw,Averaging,mll,725.4225697376181,1470.9583825401285,0.7452549334395717,1.0,0.8535357431634352,0.4,0.8062626556013216,0.1045753169535893,Low Vision
LV011,raw,Averaging,mll,810.5268521138255,1641.1669472925432,0.6293402167960525,1.0,0.994520733842403,0.4,2.911085944004896,0.2835375853105799,Low Vision
LV012,raw,Averaging,mll,1348.4721543113726,2717.057551687637,0.1318791342577272,1.0,0.9986346922243244,0.4,1.257819894164215,0.1035099947754821,Low Vision
LV013,raw,Averaging,mll,1339.883953971187,2699.881151007267,0.1918098272570672,1.0,0.999807220303745,0.4,1.1475933292655216,0.1016771324587321,Low Vision
LV015,raw,Averaging,mll,391.8299190322213,803.773081129335,0.8065848762049319,1.0,0.4429651593783417,0.4,0.8974435689613227,0.7207247340933964,Low Vision
LV016,raw,Averaging,mll,1308.5813038389915,2637.2758507428757,0.194090942751215,1.0,0.9975455471413744,0.4,1.1822160679255185,0.1011260459090455,Low Vision
LV017,raw,Averaging,mll,444.9019314527618,909.917105970416,0.7865540114029146,1.0,0.3587721673177162,0.4,2.375726325020933,2.677117487514561,Low Vision
LV018,raw,Averaging,mll,397.8898420809224,815.892927226737,0.969103061640976,1.0,0.9980375100562396,0.4,0.7470610907450859,1.2833245734642116,Low Vision
LV019,raw,Averaging,mll,383.6529756513878,787.419194367668,0.9696163529393628,1.0,0.98637363656913,0.4,1.2893226277482093,1.9014220048751944,Low Vision
LV020,raw,Averaging,mll,632.3452581896915,1284.803759444275,0.9344768341722176,1.0,0.9654113637882348,0.4,1.2406646405902244,2.9288505615995857,Low Vision
LV021,raw,Averaging,mll,532.9932919430539,1086.099826951,0.7953901347488799,1.0,0.5284340247454477,0.4,1.053957227262751,0.1457353587821163,Low Vision
LV022,raw,Averaging,mll,925.9598825154808,1872.0330080958536,0.5825357608589339,1.0,0.9358718265031488,0.4,0.7462209381668184,0.2132528409246134,Low Vision
LV023,raw,Averaging,mll,1108.6832055510613,2237.479654167015,0.513396570563734,1.0,0.9971058676850691,0.4,1.167532361188696,0.1008644938606306,Low Vision
