subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p,group,model
LV001,raw,Averaging,mll,653.3325741522408,1313.3695626594456,0.4499156213764641,1.0,0.1722057752789348,0.2,4000.0,1.5,Low Vision,mle
LV001,visible,Averaging,mll,45.29640601424482,96.13407557364808,0.9891018768125734,1.0,0.1729496164964812,0.2,4000.0,1.5,Low Vision,mle
LV001,invisible,Averaging,mll,598.941297022317,1204.2123149501567,-0.5468536598612626,1.0,0.161352042697478,0.2,4000.0,1.5,Low Vision,mle
LV001,5,Averaging,mll,58.12429482980242,121.85439172590084,0.981421183969968,1.0,0.172998953512158,0.2,4000.0,1.5,Low Vision,mle
LV001,10,Averaging,mll,268.87982227633165,543.3654466189593,-0.2883493382328148,1.0,0.0901703292866155,0.2,4000.0,1.5,Low Vision,mle
LV001,15,Averaging,mll,285.89193621838035,577.3896745030567,-0.3636726412640059,1.0,0.0901703292866155,0.2,4000.0,1.5,Low Vision,mle
LV002,raw,Averaging,mll,762.3157003252431,1531.3358150054505,0.5114505132939358,1.0,0.4837425347221298,0.2,4000.0,1.5,Low Vision,mle
LV002,visible,Averaging,mll,170.4245817913668,346.24732628425136,0.6719584627565878,1.0,0.4195296315500987,0.2,4000.0,1.5,Low Vision,mle
LV002,invisible,Averaging,mll,585.862773204236,1178.1141078140176,0.4273746808926683,1.0,0.6228165121975502,0.2,4000.0,1.5,Low Vision,mle
LV002,5,Averaging,mll,262.8003396502412,531.2064813667783,0.4849233651162795,1.0,0.6555374214980114,0.2,4000.0,1.5,Low Vision,mle
LV002,10,Averaging,mll,268.49426883475246,542.5943397358009,0.4814026809409154,1.0,0.4594888047388482,0.2,4000.0,1.5,Low Vision,mle
LV002,15,Averaging,mll,230.7795208083429,467.1648436829818,0.5694501019027729,1.0,0.4792420620130635,0.2,4000.0,1.5,Low Vision,mle
LV003,raw,Averaging,mll,274.60371547551154,555.9118453059872,0.926691372985796,1.0,0.3287075040197087,0.2,4000.0,1.5,Low Vision,mle
LV003,visible,Averaging,mll,29.327760268777,65.01509440622638,0.9955170268778788,1.0,0.3139762898921684,0.2,4000.0,1.5,Low Vision,mle
LV003,invisible,Averaging,mll,244.1815161987888,493.8353030712489,0.2071558075362474,1.0,0.2883243850559372,0.2,4000.0,1.5,Low Vision,mle
LV003,5,Averaging,mll,85.65643595124193,176.91867396877987,0.9391711609360288,1.0,0.3115847109744064,0.2,4000.0,1.5,Low Vision,mle
LV003,10,Averaging,mll,79.04711281051338,163.70002768732277,0.9480598540747944,1.0,0.3392302364154285,0.2,4000.0,1.5,Low Vision,mle
LV003,15,Averaging,mll,109.60485313807314,224.81550834244229,0.8864187277432173,1.0,0.3409749475158876,0.2,4000.0,1.5,Low Vision,mle
LV005,raw,Averaging,mll,395.25900891011287,797.2224321751899,0.8219277276567684,1.0,0.245985058671548,0.2,4000.0,1.5,Low Vision,mle
LV005,visible,Averaging,mll,105.78176954039424,217.76404825483115,0.981726386340922,1.0,0.2441366213159315,0.2,4000.0,1.5,Low Vision,mle
LV005,invisible,Averaging,mll,286.03241404196655,577.8424804071558,0.3405763741671668,1.0,0.2449168602689299,0.2,4000.0,1.5,Low Vision,mle
LV005,5,Averaging,mll,143.65815098637125,292.9221040390385,0.781043931040351,1.0,0.2581099397373977,0.2,4000.0,1.5,Low Vision,mle
LV005,10,Averaging,mll,130.7068948709893,267.0195918082746,0.8256687839459541,1.0,0.2528308279990421,0.2,4000.0,1.5,Low Vision,mle
LV005,15,Averaging,mll,120.09660506243851,245.79901219117303,0.8583855804220524,1.0,0.2308211687746085,0.2,4000.0,1.5,Low Vision,mle
LV007,raw,Averaging,mll,145.6299932601474,297.9644008752589,0.995480611087598,1.0,0.2128054240106558,0.2,4000.0,1.5,Low Vision,mle
LV007,visible,Averaging,mll,145.6299932601474,297.9644008752589,0.995480611087598,1.0,0.2128054240106558,0.2,4000.0,1.5,Low Vision,mle
LV007,5,Averaging,mll,42.40884200056984,90.42348606743566,0.9951230832646576,1.0,0.2032772186504848,0.2,4000.0,1.5,Low Vision,mle
LV007,10,Averaging,mll,43.71023482619798,93.02627171869196,0.9958707871621384,1.0,0.2127616266252421,0.2,4000.0,1.5,Low Vision,mle
LV007,15,Matching,mll,47.76434243476624,112.34609106842046,0.9801749181146848,0.7064758166188142,0.3948858708103667,0.2,0.1117908940615303,1.5,Low Vision,bci
LV008,raw,Averaging,mll,684.7579336617546,1376.2202816784732,0.413027646043394,1.0,0.1451311991833308,0.2,4000.0,1.5,Low Vision,mle
LV008,visible,Averaging,mll,20.879235537626595,46.89426951230345,0.994503732877073,1.0,0.1484688825084351,0.2,4000.0,1.5,Low Vision,mle
LV008,invisible,Averaging,mll,633.975814477444,1274.4224284586708,0.2599249051445134,1.0,0.0901703295394874,0.2,4000.0,1.5,Low Vision,mle
LV008,5,Averaging,mll,133.93183801733358,273.4694781009632,0.7960592505704362,1.0,0.1469807664325372,0.2,4000.0,1.5,Low Vision,mle
LV008,10,Averaging,mll,266.99128232211893,539.5883667105338,0.2625065788632958,1.0,0.1404319090736015,0.2,4000.0,1.5,Low Vision,mle
LV008,15,Averaging,mll,272.3049192903399,550.2156406469758,0.2499997299564709,1.0,0.0901703294754533,0.2,4000.0,1.5,Low Vision,mle
LV009,raw,Averaging,mll,337.69292835510595,682.090271065176,0.8527524979023678,1.0,0.1301668882133833,0.2,4000.0,1.5,Low Vision,mle
LV009,visible,Averaging,mll,25.08201935901642,56.364547892075535,0.9990674587782136,1.0,0.1293927540827577,0.2,4000.0,1.5,Low Vision,mle
LV009,invisible,Averaging,mll,310.50649948789334,626.7906512990094,0.2778699466093365,1.0,0.1338646301581107,0.2,4000.0,1.5,Low Vision,mle
LV009,5,Averaging,mll,111.59782460314877,228.8014512725935,0.8576739037524477,1.0,0.134009486331279,0.2,4000.0,1.5,Low Vision,mle
LV009,10,Averaging,mll,100.51017871716148,206.62615950061897,0.8798000639376238,1.0,0.1183400352649753,0.2,4000.0,1.5,Low Vision,mle
LV009,15,Averaging,mll,125.19758736727567,256.0009768008473,0.8170668114001924,1.0,0.134031752354073,0.2,4000.0,1.5,Low Vision,mle
LV011,raw,Averaging,mll,651.2823700055421,1322.6779830759765,0.4422759101388929,0.0,0.8991781945498,0.2,1.2111284997134948,2.75073590241294,Low Vision,fs
LV011,visible,Averaging,mll,105.3452641088729,228.1773650705764,0.6065236958100604,0.2747216920400896,2.94619477386972,0.2,1.6585218377588704,1.5,Low Vision,bci
LV011,invisible,Selection,mll,551.9584235587832,1122.4131006802606,0.0325399359351114,0.2358528091333459,2.998670652197316,0.2,2.9995958048474334,1.5,Low Vision,bci
LV011,5,Averaging,mll,202.62649977786248,422.0704057546129,0.4618019527436494,0.0,0.9745039979485574,0.2,1.2262564846642363,2.971919924089755,Low Vision,fs
LV011,10,Averaging,mll,211.8938355153344,440.6050772295566,0.4498228100180639,0.0,0.9511763840334116,0.2,1.2288408717425128,2.736460005273257,Low Vision,fs
LV011,15,Matching,mll,236.6905735512289,490.1985533013459,0.36334741758719,0.0712649520106362,2.925380819540567,0.2,0.372246979193136,1.5,Low Vision,bci
LV012,raw,Averaging,mll,821.9014717910198,1650.5073579370037,0.2837061700591752,1.0,0.3198992321104775,0.2,4000.0,1.5,Low Vision,mle
LV012,invisible,Averaging,mll,821.9014717910198,1650.5073579370037,0.2837061700591752,1.0,0.3198992321104775,0.2,4000.0,1.5,Low Vision,mle
LV012,5,Averaging,mll,274.8729157868277,555.3516336399514,-0.2767898848917678,1.0,0.4082109335968957,0.2,4000.0,1.5,Low Vision,mle
LV012,10,Averaging,mll,276.95819499099247,559.5221920482809,0.1776541653196132,1.0,0.2267297669622444,0.2,4000.0,1.5,Low Vision,mle
LV012,15,Averaging,mll,266.06909245287204,537.74398697204,-0.0954205414291848,1.0,0.8884752894466582,0.2,4000.0,1.5,Low Vision,mle
LV013,raw,Averaging,mll,900.0754005104511,1806.8552153758665,0.0858679360026641,1.0,0.1807387799249332,0.2,4000.0,1.5,Low Vision,mle
LV013,invisible,Averaging,mll,900.0754005104511,1806.8552153758665,0.0858679360026641,1.0,0.1807387799249332,0.2,4000.0,1.5,Low Vision,mle
LV013,5,Averaging,mll,298.5954808535569,602.7967637734098,0.0913992255095106,1.0,0.2150336806212207,0.2,4000.0,1.5,Low Vision,mle
LV013,10,Averaging,mll,301.4367218982436,608.4792458627832,0.1730440333905307,1.0,0.1412015801086595,0.2,4000.0,1.5,Low Vision,mle
LV013,15,Averaging,mll,288.360339500783,582.326481067862,0.1136993833223447,1.0,0.1862928600241041,0.2,4000.0,1.5,Low Vision,mle
LV015,raw,Averaging,mll,100.43260752344314,207.5696294018504,0.9931481495840848,1.0,0.1072665059482091,0.2,4000.0,1.5,Low Vision,mle
LV015,visible,Averaging,mll,69.25631685401005,145.17448844856543,0.9939592879238196,1.0,0.1078256643125916,0.2,4000.0,1.5,Low Vision,mle
LV015,invisible,Averaging,mll,28.83359258597389,61.19354569656393,0.3485251795912372,1.0,0.090170330082696,0.2,4000.0,1.5,Low Vision,mle
LV015,5,Averaging,mll,17.123210158208227,39.852222382712455,0.9969353662101296,1.0,0.0901703354413299,0.2,4000.0,1.5,Low Vision,mle
LV015,10,Averaging,mll,47.74501525396909,101.09583257423418,0.9845932835127188,1.0,0.0901703351485623,0.2,4000.0,1.5,Low Vision,mle
LV015,15,Averaging,mll,35.39393497611669,76.39367201852937,0.9935428736476892,1.0,0.115655710921484,0.2,4000.0,1.5,Low Vision,mle
LV016,raw,Averaging,mll,776.0856844104609,1558.8757831758858,0.3262697529854482,1.0,0.0901703301584318,0.2,4000.0,1.5,Low Vision,mle
LV016,visible,Averaging,mll,25.657452600866268,55.93987801501681,0.9374996835920346,1.0,0.0901703338732813,0.2,4000.0,1.5,Low Vision,mle
